date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:32	102376/102376	---MCZ	200	added ('OK')	text/html	etag:cacheable:721b43faea95e88d7e3cc91636939fd3	https://www.thespoiledmama.com/pages/faqs	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/www.thespoiledmama.com/pages/faqs.html	(from )
12:56:33	447/447	---MCZ	200	added ('OK')	text/plain	etag:cacheable:104bfc9150f465e3cf3632c027eed26c	https://www.thespoiledmama.com/robots.txt		(from )
12:56:34	988/988	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2016:52:19%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-57x57.png?v=4554355618662666087	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-57x57a56b.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:34	1042/1042	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2016:52:19%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-60x60.png?v=17475315395867647316	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-60x60a191.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:34	113418/113418	---M-Z	200	added ('OK')	application/javascript	etag:%2204fce791233d61:0%22	https://edge.personalizer.io/storefront/2.0.0/js/shopify/storefront.min.js?key=7txbc-m1pn3ugs9k8y2rb-gtmxt&shop=the-spoiled-mama-inc.myshopify.com	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/edge.personalizer.io/storefront/2.0.0/js/shopify/storefront.mine0ee.js	(from https://www.thespoiledmama.com/pages/faqs)
12:56:35	1240/1240	---M--	200	added ('OK')	image/png	date:Thu,%2007%20May%202020%2017:58:38%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-72x72.png?v=15812856661474005353	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-72x72b136.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:35	1259/1259	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2018:52:09%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-76x76.png?v=2441313838191032904	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-76x76d19d.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:35	1879/1879	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Apr%202020%2007:28:20%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-114x114.png?v=6562722899417553598	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-114x114648e.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:35	2008/2008	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Apr%202020%2014:42:56%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-120x120.png?v=7733128564284978884	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-120x120f40e.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:36	2368/2368	---M--	200	added ('OK')	image/png	date:Tue,%2026%20May%202020%2005:23:38%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-144x144.png?v=2910078212363523365	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-144x14435fd.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:36	2607/2607	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Apr%202020%2014:42:56%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-152x152.png?v=7067072358386849134	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-152x1527bdd.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:36	3086/3086	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Apr%202020%2007:28:20%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-180x180.png?v=1856797029865387631	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-180x1806223.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:36	1258/1258	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202020%2023:53:12%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/files/favicon-32x32.png?v=16365048503351361762	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/files/favicon-32x32d9e0.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:36	11904/11904	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202020%2020:59:26%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/files/android-chrome-192x192.png?v=10535325611560641993	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/files/android-chrome-192x1929f84.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:37	4064/4064	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202020%2023:53:12%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/files/favicon-96x96.png?v=4170741088617946370	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/files/favicon-96x961e69.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:37	601/601	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202020%2023:53:12%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/files/favicon-16x16.png?v=12416762085930409985	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/files/favicon-16x16d249.png	(from https://www.thespoiledmama.com/pages/faqs)
12:56:37	128453/128453	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jun%202020%2007:36:27%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/timber.scss.css?v=11039366030844337193	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/timber.scss7847.css	(from https://www.thespoiledmama.com/pages/faqs)
12:56:38	98419/98419	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Dec%202019%2010:09:00%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/fontawesome.css?v=16298959480155686220	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/fontawesome81c3.css	(from https://www.thespoiledmama.com/pages/faqs)
12:56:39	108141/108141	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jun%202020%2004:52:53%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/dynamic.css?v=12177235779856556625	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/dynamic43ed.css	(from https://www.thespoiledmama.com/pages/faqs)
12:56:39	3209/3209	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2002%20Jun%202020%2011:08:48%20GMT	https://d5zu2f4xvqanl.cloudfront.net/fe/loader_2.js?shop=the-spoiled-mama-inc.myshopify.com	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/d5zu2f4xvqanl.cloudfront.net/fe/loader_2a1cd.js	(from https://www.thespoiledmama.com/pages/faqs)
12:56:39	49312/49312	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Jun%202020%2016:19:11%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2020.04.13.1	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min7bee.js	(from https://www.thespoiledmama.com/pages/faqs)
12:56:39	101027/101027	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2017:01:46%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Users/Alom/Desktop/web%20project/vn-writing-sample/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://www.thespoiledmama.com/pages/faqs)
